"","layer","level","class","id","metric","value","id_park","escala"
"94",1,"class",33,NA,"pland",49.8951913149579,28,1000
"95",1,"class",24,NA,"pland",55.8874120406568,29,1000
"96",1,"class",25,NA,"pland",0.118842845973417,29,1000
"97",1,"class",33,NA,"pland",43.9937451133698,29,1000
"98",1,"class",24,NA,"pland",61.613064697785,30,1000
"99",1,"class",25,NA,"pland",0.118883744212239,30,1000
"100",1,"class",33,NA,"pland",38.2680515580028,30,1000
"101",1,"class",3,NA,"pland",1.26087228583943,31,1000
"102",1,"class",6,NA,"pland",2.0305362618109,31,1000
"103",1,"class",19,NA,"pland",0.118891183280145,31,1000
"104",1,"class",24,NA,"pland",45.7418184093611,31,1000
"105",1,"class",25,NA,"pland",0.991802765784369,31,1000
"106",1,"class",33,NA,"pland",49.856079093924,31,1000
"107",1,"class",19,NA,"pland",0.128293385067902,32,1000
"108",1,"class",24,NA,"pland",44.3300582013893,32,1000
"109",1,"class",25,NA,"pland",1.2203517116215,32,1000
"110",1,"class",33,NA,"pland",54.3212967019213,32,1000
"111",1,"class",3,NA,"pland",0.0250203290173266,33,1000
"112",1,"class",24,NA,"pland",73.500344029524,33,1000
"113",1,"class",25,NA,"pland",0.118846562832301,33,1000
"114",1,"class",33,NA,"pland",26.3557890786264,33,1000
"115",1,"class",24,NA,"pland",63.9164605316717,34,1000
"116",1,"class",33,NA,"pland",36.0835394683283,34,1000
"117",1,"class",24,NA,"pland",100,35,1000
"118",1,"class",24,NA,"pland",100,36,1000
"119",1,"class",24,NA,"pland",100,37,1000
"120",1,"class",24,NA,"pland",100,38,1000
"121",1,"class",24,NA,"pland",55.9346948988209,39,1000
"122",1,"class",25,NA,"pland",0.440997091295781,39,1000
"123",1,"class",33,NA,"pland",43.6243080098833,39,1000
"124",1,"class",24,NA,"pland",100,40,1000
"125",1,"class",24,NA,"pland",96.022905062895,41,1000
"126",1,"class",25,NA,"pland",0.150197133738031,41,1000
"127",1,"class",33,NA,"pland",3.82689780336692,41,1000
"128",1,"class",24,NA,"pland",100,42,1000
"129",1,"class",3,NA,"pland",6.55506883604506,43,1000
"130",1,"class",6,NA,"pland",0.719649561952441,43,1000
"131",1,"class",15,NA,"pland",0.306633291614518,43,1000
"132",1,"class",19,NA,"pland",0.316020025031289,43,1000
"133",1,"class",24,NA,"pland",91.5644555694618,43,1000
"134",1,"class",25,NA,"pland",0.538172715894869,43,1000
"135",1,"class",24,NA,"pland",100,44,1000
"136",1,"class",24,NA,"pland",100,45,1000
"137",1,"class",24,NA,"pland",81.7533320818472,46,1000
"138",1,"class",25,NA,"pland",0.11263375258119,46,1000
"139",1,"class",33,NA,"pland",18.1340341655716,46,1000
"140",1,"class",3,NA,"pland",0.52234837821776,47,1000
"141",1,"class",11,NA,"pland",0.100090707203403,47,1000
"142",1,"class",24,NA,"pland",50.7272215445247,47,1000
"143",1,"class",33,NA,"pland",48.6503393700541,47,1000
"144",1,"class",3,NA,"pland",0.522626275270702,48,1000
"145",1,"class",11,NA,"pland",0.100143956938099,48,1000
"146",1,"class",24,NA,"pland",69.2651937159667,48,1000
"147",1,"class",25,NA,"pland",0.118920948863992,48,1000
"148",1,"class",33,NA,"pland",29.9931151029605,48,1000
"149",1,"class",3,NA,"pland",0.522168719904947,49,1000
"150",1,"class",11,NA,"pland",0.100056281658433,49,1000
"151",1,"class",24,NA,"pland",69.0263273091114,49,1000
"152",1,"class",25,NA,"pland",0.118816834469389,49,1000
"153",1,"class",33,NA,"pland",30.2326308548559,49,1000
"154",1,"class",3,NA,"pland",4.7228311932352,50,1000
"155",1,"class",5,NA,"pland",0.808017538365174,50,1000
"156",1,"class",6,NA,"pland",11.4093329157532,50,1000
"157",1,"class",11,NA,"pland",0.447854682117131,50,1000
"158",1,"class",15,NA,"pland",0.463513936736611,50,1000
"159",1,"class",19,NA,"pland",0.867522705919198,50,1000
"160",1,"class",21,NA,"pland",0.833072345756342,50,1000
"161",1,"class",24,NA,"pland",77.4130911368619,50,1000
"162",1,"class",25,NA,"pland",1.87284685248982,50,1000
"163",1,"class",33,NA,"pland",1.16191669276542,50,1000
"164",1,"class",3,NA,"pland",8.36903831118061,51,1000
"165",1,"class",5,NA,"pland",0.428459734167318,51,1000
"166",1,"class",6,NA,"pland",10.3487099296325,51,1000
"167",1,"class",11,NA,"pland",0.344018764659891,51,1000
"168",1,"class",21,NA,"pland",0.225175918686474,51,1000
"169",1,"class",24,NA,"pland",78.7302580140735,51,1000
"170",1,"class",25,NA,"pland",1.09773260359656,51,1000
"171",1,"class",33,NA,"pland",0.456606724003128,51,1000
"172",1,"class",3,NA,"pland",4.74431995994242,52,1000
"173",1,"class",6,NA,"pland",1.17043249671403,52,1000
"174",1,"class",24,NA,"pland",93.2402829066783,52,1000
"175",1,"class",25,NA,"pland",0.844964636665206,52,1000
"176",1,"class",3,NA,"pland",4.79722117912129,53,1000
"177",1,"class",5,NA,"pland",0.685317311303042,53,1000
"178",1,"class",6,NA,"pland",11.1246714232069,53,1000
"179",1,"class",11,NA,"pland",0.406809362873952,53,1000
"180",1,"class",15,NA,"pland",0.463136813118037,53,1000
"181",1,"class",19,NA,"pland",0.866816873200651,53,1000
"182",1,"class",21,NA,"pland",0.832394542495932,53,1000
"183",1,"class",24,NA,"pland",78.8584303417199,53,1000
"184",1,"class",25,NA,"pland",1.1828764551258,53,1000
"185",1,"class",33,NA,"pland",0.782325697834523,53,1000
"186",1,"class",3,NA,"pland",11.5654132515798,54,1000
"187",1,"class",5,NA,"pland",0.284677469811675,54,1000
"188",1,"class",6,NA,"pland",9.59456922980667,54,1000
"189",1,"class",11,NA,"pland",0.181442782956892,54,1000
"190",1,"class",21,NA,"pland",0.0844647437902772,54,1000
"191",1,"class",24,NA,"pland",77.7482324970281,54,1000
"192",1,"class",25,NA,"pland",0.441093662015892,54,1000
"193",1,"class",33,NA,"pland",0.100106363010699,54,1000
"194",1,"class",3,NA,"pland",7.96820230345518,55,1000
"195",1,"class",5,NA,"pland",0.00312969454181272,55,1000
"196",1,"class",6,NA,"pland",4.60378067100651,55,1000
"197",1,"class",11,NA,"pland",0.10327991987982,55,1000
"198",1,"class",24,NA,"pland",86.4703304957436,55,1000
"199",1,"class",25,NA,"pland",0.845017526289434,55,1000
"200",1,"class",33,NA,"pland",0.00625938908362544,55,1000
"201",1,"class",3,NA,"pland",7.90066308019517,56,1000
"202",1,"class",5,NA,"pland",0.272113098961591,56,1000
"203",1,"class",6,NA,"pland",6.58701363693232,56,1000
"204",1,"class",11,NA,"pland",0.178280995871387,56,1000
"205",1,"class",24,NA,"pland",84.1204804203678,56,1000
"206",1,"class",25,NA,"pland",0.844488927811835,56,1000
"207",1,"class",33,NA,"pland",0.0969598398598774,56,1000
"208",1,"class",3,NA,"pland",4.50236225399706,57,1000
"209",1,"class",6,NA,"pland",0.74152873814962,57,1000
"210",1,"class",21,NA,"pland",0.0969932104752667,57,1000
"211",1,"class",24,NA,"pland",93.8143362222709,57,1000
"212",1,"class",25,NA,"pland",0.844779575107162,57,1000
"213",1,"class",3,NA,"pland",11.4580725907384,58,1000
"214",1,"class",5,NA,"pland",0.287859824780976,58,1000
"215",1,"class",6,NA,"pland",9.54005006257822,58,1000
"216",1,"class",11,NA,"pland",0.181476846057572,58,1000
"217",1,"class",21,NA,"pland",0.125156445556946,58,1000
"218",1,"class",24,NA,"pland",77.6908635794743,58,1000
"219",1,"class",25,NA,"pland",0.610137672090113,58,1000
"220",1,"class",33,NA,"pland",0.106382978723404,58,1000
"221",1,"class",3,NA,"pland",3.80824232562506,59,1000
"222",1,"class",6,NA,"pland",1.50201833714053,59,1000
"223",1,"class",21,NA,"pland",0.097005350940326,59,1000
"224",1,"class",24,NA,"pland",93.7478486716525,59,1000
"225",1,"class",25,NA,"pland",0.844885314641549,59,1000
"226",1,"class",3,NA,"pland",4.30279133808987,60,1000
"227",1,"class",5,NA,"pland",0.00312930279133809,60,1000
"228",1,"class",6,NA,"pland",3.02603579922393,60,1000
"229",1,"class",24,NA,"pland",91.8419076229816,60,1000
"230",1,"class",25,NA,"pland",0.772937789460508,60,1000
"231",1,"class",33,NA,"pland",0.0531981474527475,60,1000
"232",1,"class",3,NA,"pland",4.5596795393378,61,1000
"233",1,"class",6,NA,"pland",2.03417412530513,61,1000
"234",1,"class",24,NA,"pland",93.4061463353571,61,1000
"235",1,"class",24,NA,"pland",100,62,1000
"236",1,"class",24,NA,"pland",100,63,1000
"237",1,"class",24,NA,"pland",100,64,1000
"238",1,"class",3,NA,"pland",9.38389811946556,65,1000
"239",1,"class",19,NA,"pland",0.00312900904283613,65,1000
"240",1,"class",24,NA,"pland",89.4614975437279,65,1000
"241",1,"class",25,NA,"pland",1.1514753277637,65,1000
"242",1,"class",24,NA,"pland",99.9405432469646,66,1000
"243",1,"class",33,NA,"pland",0.0594567530354237,66,1000
"244",1,"class",3,NA,"pland",10.1996120392967,67,1000
"245",1,"class",6,NA,"pland",2.92534885176147,67,1000
"246",1,"class",19,NA,"pland",0.782178837369376,67,1000
"247",1,"class",24,NA,"pland",85.6923847068394,67,1000
"248",1,"class",25,NA,"pland",0.394218134034166,67,1000
"249",1,"class",33,NA,"pland",0.00625743069895501,67,1000
"250",1,"class",3,NA,"pland",5.6813915655112,68,1000
"251",1,"class",6,NA,"pland",8.39068952571643,68,1000
"252",1,"class",19,NA,"pland",0.118883744212239,68,1000
"253",1,"class",24,NA,"pland",56.479164059567,68,1000
"254",1,"class",25,NA,"pland",0.772744337379552,68,1000
"255",1,"class",33,NA,"pland",28.5571267676136,68,1000
"256",1,"class",24,NA,"pland",100,69,1000
"257",1,"class",3,NA,"pland",5.68970910228339,70,1000
"258",1,"class",6,NA,"pland",6.65311229277448,70,1000
"259",1,"class",15,NA,"pland",0.034407256803253,70,1000
"260",1,"class",24,NA,"pland",87.585236158899,70,1000
"261",1,"class",25,NA,"pland",0.0375351892399124,70,1000
"262",1,"class",24,NA,"pland",100,71,1000
"263",1,"class",3,NA,"pland",2.99968720675633,72,1000
"264",1,"class",6,NA,"pland",2.64935877385048,72,1000
"265",1,"class",15,NA,"pland",0.0500469189865499,72,1000
"266",1,"class",24,NA,"pland",94.1789177353769,72,1000
"267",1,"class",25,NA,"pland",0.121989365029715,72,1000
"268",1,"class",3,NA,"pland",7.35363144225052,73,1000
"269",1,"class",6,NA,"pland",7.27540132052446,73,1000
"270",1,"class",15,NA,"pland",0.650874612760898,73,1000
